City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,brae,60.3964,-1.353,7.58,93,71,5.72,GB,1681707864
152,georgiyevskoye,58.731,45.024,5.45,62,100,0.73,RU,1681707864
153,krasnoselkup,65.7,82.4667,-12.46,78,81,3.28,RU,1681707865
154,dikson,73.5069,80.5464,-13.28,97,100,4.89,RU,1681707839
155,talcahuano,-36.7167,-73.1167,8.82,81,0,2.06,CL,1681707626
156,bandarbeyla,9.4942,50.8122,27.88,68,41,2.63,SO,1681707866
157,sitka,57.0531,-135.33,8.94,49,75,4.12,US,1681707866
158,yellowknife,62.456,-114.3525,3.29,65,75,6.17,CA,1681707611
159,kodiak,57.79,-152.4072,0.73,75,100,8.23,US,1681707867
160,petauke,-14.2426,31.3253,17.54,84,100,2.91,ZM,1681707868
161,ponta do sol,32.6667,-17.1,19.35,74,75,1.79,PT,1681707868
162,srednekolymsk,67.45,153.6833,-1.61,84,43,2.56,RU,1681707868
163,kayerkan,69.3497,87.7602,-13.87,83,44,0.94,RU,1681707869
164,kaitangata,-46.2817,169.8464,17.18,73,100,0.09,NZ,1681707869
165,severo-yeniseyskiy,60.3725,93.0408,-9.2,87,100,3.66,RU,1681707869
166,ribeira grande,38.5167,-28.7,13.76,81,79,2.68,PT,1681707870
167,tateyama,34.9833,139.8667,18.96,48,40,5.14,JP,1681707870
168,tombouctou,20.0,-3.0,24.14,10,0,4.1,ML,1681707871
169,corinto,37.9407,22.9573,13.27,68,72,1.26,GR,1681707694
170,acarau,-2.8856,-40.12,24.78,90,100,3.45,BR,1681707681
171,bykovo,55.6361,38.0803,7.37,52,0,1.0,RU,1681707871
172,beringovskiy,63.05,179.3167,-8.14,93,78,2.13,RU,1681707871
173,sisimiut,66.9395,-53.6735,-9.0,85,47,6.01,GL,1681707872
174,alice springs,-23.7,133.8833,19.75,37,0,7.2,AU,1681707872
175,aligudarz,33.4006,49.6949,11.59,33,0,1.56,IR,1681707873
176,baruun-urt,46.6806,113.2792,9.21,31,50,2.31,MN,1681707873
177,leningradskiy,69.3833,178.4167,-13.29,93,6,3.42,RU,1681707874
178,carnarvon,-24.8667,113.6333,23.55,52,100,6.19,AU,1681707874
179,taltal,-25.4,-70.4833,17.48,78,1,1.39,CL,1681707737
180,sao filipe,14.8961,-24.4956,23.45,81,10,4.66,CV,1681707874
181,portland,45.5234,-122.6762,7.71,78,65,2.24,US,1681707550
182,yar-sale,66.8333,70.8333,-15.21,88,96,6.98,RU,1681707875
183,grand gaube,-20.0064,57.6608,28.54,73,32,5.04,MU,1681707875
184,den helder,52.9599,4.7593,7.79,99,100,3.13,NL,1681707694
185,umm lajj,25.0213,37.2685,25.45,41,3,1.92,SA,1681707707
186,sangar,63.9242,127.4739,1.16,87,100,6.56,RU,1681707876
187,rio branco,-9.9747,-67.81,24.34,100,0,1.54,BR,1681707876
188,marshfield,44.6689,-90.1718,-1.05,93,100,10.29,US,1681707876
189,saint george,37.1041,-113.5841,17.75,28,0,3.6,US,1681707647
190,virginia beach,36.8529,-75.978,22.03,81,40,5.14,US,1681707877
191,upernavik,72.7868,-56.1549,-23.34,100,100,2.31,GL,1681707877
192,bay roberts,47.5999,-53.2648,-1.14,92,94,2.06,CA,1681707877
193,pevek,69.7008,170.3133,-12.52,83,40,1.23,RU,1681707877
194,hofn,64.2539,-15.2082,8.23,99,100,7.55,IS,1681707877
195,bubaque,11.2833,-15.8333,25.49,69,14,3.04,GW,1681707878
196,clocolan,-28.9137,27.5656,8.5,44,6,0.64,ZA,1681707878
197,moron,-34.6534,-58.6198,14.44,96,100,2.14,AR,1681707878
198,richards bay,-28.783,32.0377,16.96,84,0,3.51,ZA,1681707878
199,verkhnyaya inta,65.9811,60.3094,-5.46,72,100,3.14,RU,1681707878
200,aklavik,68.2191,-135.0107,-12.98,94,100,5.1,CA,1681707879
201,bonthe,7.5264,-12.505,26.55,88,66,1.74,SL,1681707791
202,klyuchi,52.2667,79.1667,-2.31,91,100,6.3,RU,1681707879
203,harper,4.375,-7.7169,25.15,90,92,0.93,LR,1681707879
204,shakawe,-18.3667,21.85,16.31,63,8,2.58,BW,1681707880
205,yakeshi,49.2833,120.7333,11.74,29,100,5.65,CN,1681707880
206,phek,25.6667,94.5,28.71,15,54,2.63,IN,1681707880
207,kosai,34.7105,137.5316,19.92,30,4,9.82,JP,1681707880
208,tasiilaq,65.6145,-37.6368,2.09,87,100,15.34,GL,1681707881
209,puerto del rosario,28.5004,-13.8627,17.86,77,0,2.57,ES,1681707881
210,new norfolk,-42.7826,147.0587,19.72,60,76,4.47,AU,1681707881
211,tautira,-17.7333,-149.15,27.47,73,31,3.22,PF,1681707881
212,antalaha,-14.9003,50.2788,25.65,75,7,2.81,MG,1681707881
213,brusque,-27.0981,-48.9175,22.83,100,100,0.47,BR,1681707652
214,hasaki,35.7333,140.8333,19.05,50,70,5.32,JP,1681707882
215,olafsvik,64.8945,-23.7142,6.53,93,51,5.14,IS,1681707882
216,lampazos de naranjo,27.0167,-100.5167,20.0,42,0,5.34,MX,1681707882
217,champerico,14.3,-91.9167,28.11,68,11,4.3,GT,1681707882
218,alekseyevsk,57.8406,108.3492,-1.95,56,100,3.04,RU,1681707883
219,labuhan,-6.8844,112.2051,29.37,72,79,2.84,ID,1681707883
220,amurzet,47.6967,131.0981,11.6,27,10,3.0,RU,1681707883
221,saint anthony,45.0205,-93.218,1.03,79,100,11.32,US,1681707883
222,lata,40.1629,-8.3327,11.99,58,46,2.04,PT,1681707884
223,pacific grove,36.6177,-121.9166,11.68,83,0,4.47,US,1681707719
224,palmer,42.1584,-72.3287,15.9,89,100,3.09,US,1681707884
225,saskylakh,71.9167,114.0833,-11.84,92,100,5.35,RU,1681707884
226,acapulco,16.8634,-99.8901,25.83,82,2,1.5,MX,1681707805
227,chokurdakh,70.6333,147.9167,-10.29,90,17,2.16,RU,1681707885
228,laguna,38.421,-121.4238,13.75,75,0,2.57,US,1681707885
229,moose factory,51.2585,-80.6094,1.0,86,100,5.66,CA,1681707886
230,kenai,60.5544,-151.2583,3.41,83,100,4.63,US,1681707886
231,bonfim,3.0833,-59.95,24.91,84,99,3.1,BR,1681707886
232,puerto penasco,31.3167,-113.5333,19.39,72,0,0.45,MX,1681707886
233,torbay,47.6666,-52.7314,-0.79,89,20,2.06,CA,1681707886
234,trincomalee,8.5711,81.2335,35.62,34,7,1.96,LK,1681707887
235,loukhi,66.0764,33.0381,-1.84,87,50,1.2,RU,1681707887
236,vanimo,-2.6741,141.3028,28.41,75,100,0.97,PG,1681707691
237,baijiantan,45.6333,85.1833,14.92,37,99,3.52,CN,1681707887
238,mbandaka,0.0487,18.2603,20.87,98,99,1.33,CD,1681707887
239,lagoa,39.05,-27.9833,14.49,70,93,8.54,PT,1681707887
240,camacha,33.0833,-16.3333,15.68,82,20,7.2,PT,1681707888
241,buzmeyin,38.0507,58.2056,8.85,43,26,1.03,TM,1681707888
242,ilulissat,69.2167,-51.1,-18.01,99,41,1.94,GL,1681707888
243,port blair,11.6667,92.75,32.42,54,97,0.75,IN,1681707710
244,airai,-8.9266,125.4092,20.64,81,100,2.22,TL,1681707888
245,parabel,58.6978,81.4825,-13.57,74,100,5.62,RU,1681707889
246,touros,-5.1989,-35.4608,24.75,92,99,3.59,BR,1681707889
247,kahului,20.8947,-156.47,25.47,73,20,4.12,US,1681707889
248,retalhuleu,14.5333,-91.6833,28.16,94,21,1.5,GT,1681707600
249,kamenka,51.3223,42.7678,7.32,47,92,2.61,RU,1681707889
250,akhisar,38.9185,27.8401,15.11,70,100,0.28,TR,1681707890
251,yulara,-25.2406,130.9889,21.99,27,0,4.75,AU,1681707890
252,port hawkesbury,45.6169,-61.3485,5.54,99,100,4.12,CA,1681707890
253,tuatapere,-46.1333,167.6833,15.89,71,100,2.5,NZ,1681707890
254,darhan,49.4867,105.9228,1.78,51,100,3.4,MN,1681707890
255,port hardy,50.6996,-127.4199,4.0,93,100,3.6,CA,1681707820
256,inongo,-1.95,18.2667,22.08,95,99,0.27,CD,1681707891
257,havelock,34.8791,-76.9013,21.1,85,0,5.66,US,1681707891
258,atasu,48.6814,71.6433,-0.07,65,100,8.48,KZ,1681707891
259,ulagan,50.6321,87.9563,3.8,83,100,1.78,RU,1681707891
260,muros,42.7762,-9.0603,10.47,91,88,2.5,ES,1681707892
261,general higinio morinigo,-25.95,-55.9167,18.33,100,81,0.5,PY,1681707892
262,moerai,-22.4333,-151.3333,24.45,57,100,5.32,PF,1681707892
263,beloha,-25.1667,45.05,21.04,65,34,4.23,MG,1681707892
264,korla,41.7597,86.1469,21.24,23,64,6.81,CN,1681707773
265,samarai,-10.6167,150.6667,29.39,63,100,1.24,PG,1681707893
266,arraial do cabo,-22.9661,-42.0278,20.1,97,6,2.23,BR,1681707893
267,mandalgovi,45.7625,106.2708,9.56,13,20,11.63,MN,1681707893
268,bagan,54.1001,77.6646,0.57,46,100,7.88,RU,1681707893
269,kedrovyy,56.1667,91.8167,-1.74,52,84,3.99,RU,1681707893
270,bengkulu,-3.8004,102.2655,29.22,65,76,2.71,ID,1681707894
271,sindor,62.8629,51.8905,-2.62,92,100,2.47,RU,1681707894
272,grindavik,63.8424,-22.4338,8.26,93,100,5.66,IS,1681707894
273,cobija,-11.0267,-68.7692,22.67,99,99,0.62,BO,1681707894
274,mongo,12.1844,18.693,27.99,17,66,2.84,TD,1681707894
275,zhezkazgan,47.8043,67.7144,-1.01,74,75,9.0,KZ,1681707895
276,mahebourg,-20.4081,57.7,28.47,89,40,0.0,MU,1681707895
277,opunake,-39.4556,173.8583,20.47,67,3,1.74,NZ,1681707895
278,canico,32.6333,-16.85,19.35,55,40,7.72,PT,1681707895
279,makokou,0.5738,12.8642,20.5,99,99,0.82,GA,1681707742
280,havre-saint-pierre,50.2334,-63.5986,1.2,75,100,3.6,CA,1681707896
281,flinders,-34.5833,150.8552,22.32,58,74,0.89,AU,1681707896
282,souillac,-20.5167,57.5167,26.21,89,40,0.0,MU,1681707896
283,hami,42.8,93.45,21.35,26,10,3.84,CN,1681707896
284,sinegorye,62.0788,150.477,-4.83,85,99,1.52,RU,1681707897
285,komsomolskiy,40.4272,71.7189,18.4,32,75,5.14,UZ,1681707897
286,conceicao do castelo,-20.3683,-41.2439,18.89,97,81,1.29,BR,1681707897
287,plettenberg bay,-34.0527,23.3716,15.82,51,0,1.08,ZA,1681707897
288,victoria,22.2855,114.1577,29.42,77,5,3.58,HK,1681707605
289,syumsi,57.1111,51.6149,4.35,65,100,0.88,RU,1681707898
290,leo,11.1,-2.1,26.79,28,87,2.58,BF,1681707898
291,naze,28.3667,129.4833,21.51,52,0,3.92,JP,1681707898
292,buraydah,26.326,43.975,19.25,69,2,2.92,SA,1681707898
293,ampanihy,-24.7,44.75,20.21,71,2,5.72,MG,1681707898
294,lasa,46.6166,10.7002,2.42,91,54,2.68,IT,1681707899
295,pisco,-13.7,-76.2167,22.03,83,0,3.6,PE,1681707899
296,ostersund,63.1792,14.6357,1.45,93,40,2.06,SE,1681707704
297,karratha,-20.7377,116.8463,28.87,21,1,6.33,AU,1681707899
298,shingu,33.7333,135.9833,18.0,41,21,4.34,JP,1681707899
299,san cristobal,7.7669,-72.225,21.1,94,100,0.77,VE,1681707900
300,nambour,-26.6333,152.95,25.61,81,61,2.68,AU,1681707900
301,gat,31.61,34.7642,25.22,66,0,0.93,IL,1681707783
302,entebbe,0.0644,32.4469,23.18,73,20,3.6,UG,1681707900
303,altamira,-3.2033,-52.2064,23.28,99,100,0.72,BR,1681707901
304,whitefish,48.4111,-114.3376,7.81,83,100,2.57,US,1681707901
305,vila velha,-20.3297,-40.2925,22.19,92,40,1.54,BR,1681707741
306,te anau,-45.4167,167.7167,15.28,63,100,1.94,NZ,1681707902
307,dubuque,42.4833,-90.8668,-0.67,80,100,9.26,US,1681707607
308,ullapool,57.8987,-5.1604,12.97,90,92,2.46,GB,1681707903
309,vaitape,-16.5167,-151.75,27.57,73,27,3.66,PF,1681707765
310,ambilobe,-13.2,49.05,25.47,78,77,1.26,MG,1681707904
311,synya,65.3718,58.0387,-0.66,95,100,1.56,RU,1681707904
312,kavieng,-2.5744,150.7967,28.49,73,96,4.44,PG,1681707904
313,shahr-e babak,30.1165,55.1186,15.74,23,91,4.23,IR,1681707905
314,selaphum,16.0299,103.9383,37.27,33,32,4.62,TH,1681707906
315,marstal,54.8562,10.5173,6.95,83,17,3.6,DK,1681707906
316,pichayevo,53.2363,42.2032,7.94,37,91,1.98,RU,1681707906
317,marsh harbour,26.5412,-77.0636,24.92,83,60,6.32,BS,1681707633
318,russkaya polyana,49.417,31.9201,6.71,66,96,5.38,UA,1681707907
319,guane,22.2025,-84.0875,22.89,87,72,1.93,CU,1681707907
320,chuy,-33.6971,-53.4616,16.54,69,90,4.09,UY,1681707907
321,el alto,-4.2714,-81.2147,24.45,83,100,6.38,PE,1681707674
322,mwene-ditu,-7.0,23.45,18.49,98,100,0.91,CD,1681707908
323,kaeo,-35.1,173.7833,20.74,85,17,6.83,NZ,1681707909
324,dayong,25.0209,118.2898,32.21,34,0,3.87,CN,1681707910
325,rorvik,64.8621,11.2373,3.06,87,0,1.03,NO,1681707910
326,abnub,27.2696,31.1511,16.12,20,0,1.21,EG,1681707912
327,tuktoyaktuk,69.4541,-133.0374,-12.0,85,100,3.6,CA,1681707914
328,petropavlovsk-kamchatskiy,53.0452,158.6483,3.33,75,75,11.0,RU,1681707916
329,iqaluit,63.7506,-68.5145,-18.15,78,75,3.09,CA,1681707690
330,lofthus,59.9468,10.8018,3.82,98,81,1.21,NO,1681707917
331,oktyabrskoye,43.0645,44.7417,2.08,100,77,1.0,RU,1681707917
332,akyab,20.15,92.9,30.97,66,23,3.82,MM,1681707917
333,maneadero,31.7167,-116.5667,13.39,81,41,1.79,MX,1681707919
334,hastings,50.8552,0.5729,9.73,42,99,2.69,GB,1681707921
335,saint-philippe,-21.3585,55.7679,27.77,79,46,4.43,RE,1681707922
336,nokaneng,-19.6667,22.2667,17.34,69,11,2.93,BW,1681707922
337,moussoro,13.6408,16.4901,26.78,10,63,3.94,TD,1681707922
338,huarmey,-10.0681,-78.1522,24.86,82,98,3.8,PE,1681707923
339,wageningen,51.9667,5.6667,8.35,97,100,2.57,NL,1681707923
340,eirunepe,-6.6603,-69.8736,22.91,98,100,0.49,BR,1681707923
341,tanout,14.9709,8.8879,25.48,14,52,4.66,NE,1681707923
342,keita,14.7551,5.7749,27.08,37,95,2.3,NE,1681707924
343,raga,8.4596,25.678,27.97,38,100,1.44,SS,1681707925
344,port-cartier,50.0334,-66.8654,2.12,86,91,2.59,CA,1681707925
345,shimoda,34.6667,138.95,19.2,51,34,3.02,JP,1681707925
346,batagay,67.6333,134.6333,-2.07,83,99,0.44,RU,1681707925
347,young,-32.6833,-57.6333,13.63,69,95,3.46,UY,1681707920
348,inhuma,-6.6683,-41.7078,23.12,78,97,1.15,BR,1681707926
349,preobrazheniye,42.9019,133.9064,7.17,67,68,3.57,RU,1681707926
350,pyaozerskiy,65.8333,31.1667,-3.25,95,98,1.29,RU,1681707927
351,soma,39.1855,27.6094,14.73,73,100,0.54,TR,1681707927
352,calama,-22.4667,-68.9333,6.27,39,0,6.69,CL,1681707646
353,emmett,43.8735,-116.4993,13.94,69,100,0.78,US,1681707927
354,le havre,49.4938,0.1077,6.51,75,0,2.06,FR,1681707645
355,teguise,29.0605,-13.564,16.12,77,0,3.09,ES,1681707928
356,puerto asis,0.5133,-76.5007,22.53,98,100,1.18,CO,1681707928
357,paamiut,61.994,-49.6678,-1.12,79,5,9.49,GL,1681707796
358,husavik,66.0449,-17.3389,5.34,88,100,4.37,IS,1681707928
359,cabo san lucas,22.8909,-109.9124,21.95,58,35,5.51,MX,1681707892
360,muisne,0.6,-80.0333,23.84,89,100,1.47,EC,1681707929
361,minggang,32.4586,114.0486,32.2,35,26,7.65,CN,1681707924
